	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_43	2879	2941	4198	4258	60.87881660461426	61.40941619873047	-52.33838081359863	-53.42156410217285
Box_44	2939	2994	3606	3666	55.339019775390625	55.930965423583984	-49.54203224182129	-50.588661193847656
Box_45	2938	2996	3665	3720	55.930965423583984	56.51675987243652	-49.67152404785156	-50.7216911315918
Box_46	2936	2997	3725	3785	56.51675987243652	57.09650421142578	-49.809038162231445	-50.86291313171387
Box_47	2939	3000	3783	3847	57.09650421142578	57.67029571533203	-49.954952239990234	-51.01271057128906
Box_48	2944	3001	3841	3903	57.67029571533203	58.23823356628418	-50.10967254638672	-51.17148780822754
Box_49	2941	2994	3907	3959	58.23823356628418	58.80041313171387	-50.27362251281738	-51.339670181274414
Box_50	2945	3001	3960	4025	58.80041313171387	59.3569221496582	-50.447248458862305	-51.517709732055664
Box_51	2946	2996	4020	4086	59.3569221496582	59.907846450805664	-50.63102912902832	-51.70608139038086
Box_52	2938	3002	4080	4144	59.907846450805664	60.453264236450195	-50.82546424865723	-51.90528869628906
Box_53	2945	3001	4145	4203	60.453264236450195	60.99325180053711	-51.031089782714844	-52.115867614746094
Box_54	2938	3005	4209	4261	60.99325180053711	61.52787780761719	-51.248470306396484	-52.33838081359863
Box_55	2995	3054	3608	3663	55.414363861083984	56.0096321105957	-48.4923038482666	-49.54203224182129
Box_56	2995	3061	3664	3728	56.0096321105957	56.59880447387695	-48.617990493774414	-49.67152404785156
Box_57	2998	3057	3722	3784	56.59880447387695	57.18198204040527	-48.75151062011719	-49.809038162231445
Box_58	3003	3055	3785	3846	57.18198204040527	57.759267807006836	-48.89324188232422	-49.954952239990234
Box_59	3004	3060	3845	3907	57.759267807006836	58.33076095581055	-49.0435848236084	-50.10967254638672
Box_60	2999	3061	3902	3966	58.33076095581055	58.89655303955078	-49.202959060668945	-50.27362251281738
Box_61	3000	3054	3967	4023	58.89655303955078	59.45673751831055	-49.37181091308594	-50.447248458862305
Box_62	3006	3058	4028	4085	59.45673751831055	60.01140213012695	-49.550615310668945	-50.63102912902832
Box_63	2999	3061	4081	4146	60.01140213012695	60.56062889099121	-49.7398681640625	-50.82546424865723
Box_64	2996	3061	4144	4200	60.56062889099121	61.1044921875	-49.940107345581055	-51.031089782714844
Box_65	3001	3063	4205	4262	61.1044921875	61.643062591552734	-50.15189552307129	-51.248470306396484
