	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_53	3594	3655	3128	3190	50.82241439819336	51.49342155456543	-37.39887428283691	-38.43743705749512
Box_54	3596	3656	3189	3249	51.49342155456543	52.15801239013672	-37.4410457611084	-38.48342514038086
Box_55	3596	3656	3248	3309	52.15801239013672	52.8162899017334	-37.48648262023926	-38.53293800354004
Box_56	3597	3656	3308	3368	52.8162899017334	53.4683609008789	-37.53537178039551	-38.5861701965332
Box_57	3597	3654	3369	3430	53.4683609008789	54.11433219909668	-37.58790397644043	-38.64332389831543
Box_58	3597	3657	3428	3488	54.11433219909668	54.75431442260742	-37.6442813873291	-38.70461082458496
Box_59	3598	3655	3490	3550	54.75431442260742	55.38842010498047	-37.70471572875977	-38.77025604248047
Box_60	3654	3713	2349	2409	41.48652267456055	42.249473571777344	-36.07051277160645	-37.0788631439209
Box_61	3654	3713	2409	2469	42.249473571777344	43.00512313842773	-36.08217239379883	-37.09185981750488
Box_62	3654	3714	2469	2529	43.00512313842773	43.753509521484375	-36.09519386291504	-37.10636329650879
Box_63	3654	3714	2529	2589	43.753509521484375	44.49468040466309	-36.109676361083984	-37.12248229980469
Box_64	3654	3714	2589	2649	44.49468040466309	45.22868347167969	-36.12571716308594	-37.140323638916016
Box_65	3654	3714	2649	2709	45.22868347167969	45.95557594299317	-36.1434268951416	-37.160003662109375
Box_66	3654	3714	2709	2769	45.95557594299317	46.67542266845703	-36.16291046142578	-37.18163871765137
Box_67	3654	3714	2769	2829	46.67542266845703	47.38829040527344	-36.18428802490234	-37.20535659790039
Box_68	3654	3714	2829	2889	47.38829040527344	48.09425163269043	-36.20767211914063	-37.23128128051758
Box_69	3655	3714	2889	2949	48.09425163269043	48.79338455200195	-36.233192443847656	-37.25954818725586
Box_70	3655	3715	2949	3009	48.79338455200195	49.48577308654785	-36.2609748840332	-37.29029273986816
Box_71	3654	3715	3009	3069	49.48577308654785	50.17150497436523	-36.29115295410156	-37.32366180419922
Box_72	3654	3714	3070	3130	50.17150497436523	50.85067176818848	-36.32386779785156	-37.35980224609375
Box_73	3654	3714	3129	3188	50.85067176818848	51.52336883544922	-36.3592700958252	-37.39887428283691
Box_74	3655	3715	3190	3248	51.52336883544922	52.18969535827637	-36.39751243591309	-37.4410457611084
Box_75	3655	3715	3250	3310	52.18969535827637	52.84975624084473	-36.43875694274902	-37.48648262023926
Box_76	3654	3715	3308	3370	52.84975624084473	53.5036563873291	-36.48317527770996	-37.53537178039551
Box_77	3656	3715	3369	3428	53.5036563873291	54.15150451660156	-36.530948638916016	-37.58790397644043
Box_78	3655	3714	3430	3489	54.15150451660156	54.79341316223145	-36.5822696685791	-37.6442813873291
Box_79	3656	3715	3488	3549	54.79341316223145	55.42949485778809	-36.63733673095703	-37.70471572875977
Box_80	3714	3773	2349	2409	41.49611854553223	42.26004219055176	-35.061967849731445	-36.07051277160645
Box_81	3714	3773	2409	2469	42.26004219055176	43.016714096069336	-35.07225799560547	-36.08217239379883
Box_82	3714	3773	2469	2529	43.016714096069336	43.76617050170898	-35.08376121520996	-36.09519386291504
Box_83	3714	3774	2529	2589	43.76617050170898	44.50845527648926	-35.096567153930664	-36.109676361083984
